Title (w/ year),Country,Language,Release_Date
Privilege (1967) ,"
Country:
UK
","
Language:
English
","
Release Date: 28 February 1967 (UK)
    
See more »
    
"
Hells Angels on Wheels (1967) ,"
Country:
USA
","
Language:
English
","
Release Date: June 1967 (USA)
    
See more »
    
"
The Taming of the Shrew (1967) ,"
Country:
Italy
|
USA
","
Language:
English
","
Release Date: 8 March 1967 (USA)
    
See more »
    
"
We Still Kill the Old Way (1967) ,"
Country:
Italy
","
Language:
Italian
","
Release Date: 28 February 1968 (USA)
    
See more »
    
"
The Thief of Paris (1967) ,"
Country:
France
|
Italy
","
Language:
French
","
Release Date: 23 August 1967 (USA)
    
See more »
    
"
The Witches (1967) ,"
Country:
Italy
|
France
","
Language:
Italian
|
English
","
Release Date: 12 March 1969 (USA)
    
See more »
    
"
Marat/Sade (1967) ,"
Country:
UK
","
Language:
English
","
Release Date: 13 April 1967 (Sweden)
    
See more »
    
"
The 25th Hour (1967) ,"
Country:
France
|
Italy
|
Yugoslavia
","
Language:
French
|
English
|
Romanian
","
Release Date: 26 April 1967 (France)
    
See more »
    
"
Deadlier Than the Male (1967) ,"
Country:
UK
","
Language:
English
","
Release Date: 12 February 1967 (UK)
    
See more »
    
"
"Django Kill... If You Live, Shoot! (1967) ","
Country:
Italy
|
Spain
","
Language:
Italian
","
Release Date: 3 May 1967 (Brazil)
    
See more »
    
"
Accident (1967) ,"
Country:
UK
","
Language:
English
","
Release Date: 7 June 1967 (France)
    
See more »
    
"
Tobruk (1967) ,"
Country:
USA
","
Language:
English
|
German
|
Italian
|
Arabic
","
Release Date: 10 March 1967 (West Germany)
    
See more »
    
"
A Colt Is My Passport (1967) ,"
Country:
Japan
","
Language:
Japanese
","
Release Date: 4 February 1967 (Japan)
    
See more »
    
"
The Cruel Ones (1967) ,"
Country:
Italy
|
Spain
","
Language:
Italian
|
Spanish
","
Release Date: June 1967 (USA)
    
See more »
    
"
"Voitheia o Vengos, faneros praktor '000' (1967) ","
Country:
Greece
","
Language:
Greek
","
Release Date: 30 January 1967 (Greece)
    
See more »
    
"
The Night of the Generals (1967) ,"
Country:
UK
|
France
","
Language:
English
|
Italian
|
Spanish
|
French
","
Release Date: 24 February 1967 (USA)
    
See more »
    
"
The Deadly Affair (1967) ,"
Country:
UK
","
Language:
English
","
Release Date: 7 April 1967 (UK)
    
See more »
    
"
Hotel (1967) ,"
Country:
USA
","
Language:
English
","
Release Date: 19 January 1967 (USA)
    
See more »
    
"
A Bullet for the General (1967) ,"
Country:
Italy
","
Language:
Italian
|
Spanish
|
English
","
Release Date: September 1968 (USA)
    
See more »
    
"
A Countess from Hong Kong (1967) ,"
Country:
UK
","
Language:
English
|
French
","
Release Date: 15 March 1967 (USA)
    
See more »
    
"
Zatoichi's Cane Sword (1967) ,"
Country:
Japan
","
Language:
Japanese
","
Release Date: 3 January 1967 (Japan)
    
See more »
    
"
The Wild World of Batwoman (1966) ,"
Country:
USA
","
Language:
English
", ~data not found~ 
Trans-Europ-Express (1966) ,"
Country:
France
|
Belgium
","
Language:
French
|
Dutch
","
Release Date: 12 May 1968 (USA)
    
See more »
    
"
Black Girl (1966) ,"
Country:
Senegal
|
France
","
Language:
French
","
Release Date: 1966 (Senegal)
    
See more »
    
"
Dacii (1966) ,"
Country:
Romania
|
France
","
Language:
Romanian
","
Release Date: 1966 (Romania)
    
See more »
    
"
A Report on the Party and Guests (1966) ,"
Country:
Czechoslovakia
","
Language:
Czech
","
Release Date: 11 September 1968 (France)
    
See more »
    
"
Daisies (1966) ,"
Country:
Czechoslovakia
","
Language:
Czech
","
Release Date: 30 December 1966 (Czechoslovakia)
    
See more »
    
"
The Deadly Bees (1966) ,"
Country:
UK
","
Language:
English
","
Release Date: 11 August 1967 (USA)
    
See more »
    
"
"The Good, the Bad and the Ugly (1966) ","
Country:
Italy
|
Spain
|
West Germany
","
Language:
Italian
","
Release Date: 29 December 1967 (USA)
    
See more »
    
"
Funeral in Berlin (1966) ,"
Country:
UK
","
Language:
English
|
German
","
Release Date: 24 February 1967 (UK)
    
See more »
    
"
King of Hearts (1966) ,"
Country:
France
|
Italy
","
Language:
French
|
English
|
German
","
Release Date: 19 June 1967 (USA)
    
See more »
    
"
Grand Prix (1966) ,"
Country:
USA
","
Language:
English
|
French
|
Italian
|
Japanese
","
Release Date: 21 December 1966 (USA)
    
See more »
    
"
The Sand Pebbles (1966) ,"
Country:
USA
","
Language:
English
|
Mandarin
","
Release Date: 20 December 1966 (USA)
    
See more »
    
"
Murderers' Row (1966) ,"
Country:
USA
","
Language:
English
","
Release Date: 21 December 1966 (USA)
    
See more »
    
"
The Family Way (1966) ,"
Country:
UK
","
Language:
English
","
Release Date: 6 January 1967 (UK)
    
See more »
    
"
Blow-Up (1966) ,"
Country:
UK
|
Italy
","
Language:
English
","
Release Date: 26 September 1967 (Italy)
    
See more »
    
"
"Ebirah, Horror of the Deep (1966) ","
Country:
Japan
","
Language:
Japanese
","
Release Date: 1969 (USA)
    
See more »
    
"
Gambit (1966) ,"
Country:
USA
","
Language:
English
|
French
|
Arabic
","
Release Date: 7 January 1967 (USA)
    
See more »
    
"
Andrei Rublev (1966) ,"
Country:
Soviet Union
","
Language:
Russian
|
Italian
|
Tatar
","
Release Date: October 1973 (USA)
    
See more »
    
"
Thunderbirds Are GO (1966) ,"
Country:
UK
","
Language:
English
","
Release Date: July 1968 (USA)
    
See more »
    
"
Winnetou und sein Freund Old Firehand (1966) ,"
Country:
West Germany
|
Yugoslavia
","
Language:
German
|
English
","
Release Date: November 1967 (USA)
    
See more »
    
"
A Man for All Seasons (1966) ,"
Country:
UK
","
Language:
English
|
Latin
|
Spanish
|
French
","
Release Date: 3 May 1967 (France)
    
See more »
    
"
Triple Cross (1966) ,"
Country:
UK
|
France
|
West Germany
","
Language:
English
|
French
|
German
|
Portuguese
","
Release Date: 9 December 1966 (France)
    
See more »
    
"
You're a Big Boy Now (1966) ,"
Country:
USA
","
Language:
English
","
Release Date: 9 July 1967 (UK)
    
See more »
    
"
La Grande Vadrouille (1966) ,"
Country:
France
|
UK
","
Language:
French
|
English
|
German
","
Release Date: 8 December 1966 (France)
    
See more »
    
"
Made in U.S.A (1966) ,"
Country:
France
","
Language:
French
|
English
","
Release Date: 27 September 1967 (USA)
    
See more »
    
"
Night Train to Mundo Fine (1966) ,"
Country:
USA
","
Language:
English
","
Release Date: November 1966 (USA)
    
See more »
    
"
La resa dei conti (1966) ,"
Country:
Italy
|
Spain
","
Language:
Italian
","
Release Date: 29 November 1966 (Spain)
    
See more »
    
"
The Treasure of San Gennaro (1966) ,"
Country:
Italy
|
France
|
West Germany
","
Language:
Italian
","
Release Date: 26 February 1968 (USA)
    
See more »
    
"
Navajo Joe (1966) ,"
Country:
Italy
|
Spain
","
Language:
Italian
","
Release Date: 25 November 1966 (Italy)
    
See more »
    
"
One Million Years B.C. (1966) ,"
Country:
USA
|
UK
","
Language:
English
","
Release Date: 21 February 1967 (USA)
    
See more »
    
"
The Witches (1966) ,"
Country:
UK
","
Language:
English
","
Release Date: February 1967 (USA)
    
See more »
    
"
Eye of the Devil (1966) ,"
Country:
UK
","
Language:
English
","
Release Date: 31 March 1968 (UK)
    
See more »
    
"
Manos: The Hands of Fate (1966) ,"
Country:
USA
","
Language:
English
","
Release Date: 15 November 1966 (USA)
    
See more »
    
"
Krylya (1966) ,"
Country:
Soviet Union
","
Language:
Russian
","
Release Date: 1996 (USA)
    
See more »
    
"
The Quiller Memorandum (1966) ,"
Country:
UK
","
Language:
English
|
German
","
Release Date: 15 December 1966 (USA)
    
See more »
    
"
Penelope (1966) ,"
Country:
USA
","
Language:
English
","
Release Date: 10 November 1966 (USA)
    
See more »
    
"
Fighting Elegy (1966) ,"
Country:
Japan
","
Language:
Japanese
","
Release Date: 9 November 1966 (Japan)
    
See more »
    
"
"What's Up, Tiger Lily? (1966) ","
Country:
Japan
|
USA
","
Language:
English
|
Japanese
","
Release Date: 2 November 1966 (USA)
    
See more »
    
"
The Professionals (1966) ,"
Country:
USA
","
Language:
English
|
Spanish
","
Release Date: 13 December 1966 (West Germany)
    
See more »
    
"
Texas Across the River (1966) ,"
Country:
USA
","
Language:
English
|
Spanish
","
Release Date: 28 November 1966 (Sweden)
    
See more »
    
"
Paris brûle-t-il? (1966) ,"
Country:
France
|
USA
","
Language:
French
|
German
|
English
","
Release Date: 26 October 1966 (France)
    
See more »
    
"
Incubus (1966) ,"
Country:
USA
","
Language:
Esperanto
","
Release Date: 26 October 1966 (USA)
    
See more »
    
"
"My Daughter, the Socialist (1966) ","
Country:
Greece
","
Language:
Greek
|
English
","
Release Date: 24 October 1966 (Greece)
    
See more »
    
"
Ride in the Whirlwind (1966) ,"
Country:
USA
","
Language:
English
","
Release Date: 11 September 1968 (France)
    
See more »
    
"
Teesri Manzil (1966) ,"
Country:
India
","
Language:
Hindi
","
Release Date: 21 October 1966 (India)
    
See more »
    
"
Return of the Seven (1966) ,"
Country:
Spain
|
USA
","
Language:
English
|
Spanish
","
Release Date: 19 October 1966 (USA)
    
See more »
    
"
The Fortune Cookie (1966) ,"
Country:
USA
","
Language:
English
","
Release Date: 19 October 1966 (USA)
    
See more »
    
"
Persona (1966) ,"
Country:
Sweden
","
Language:
Swedish
|
English
","
Release Date: 16 March 1967 (USA)
    
See more »
    
"
Closely Watched Trains (1966) ,"
Country:
Czechoslovakia
","
Language:
Czech
|
German
","
Release Date: 18 November 1966 (Czechoslovakia)
    
See more »
    
"
A Funny Thing Happened on the Way to the Forum (1966) ,"
Country:
USA
|
UK
","
Language:
English
","
Release Date: 16 October 1966 (USA)
    
See more »
    
"
Dead Heat on a Merry-Go-Round (1966) ,"
Country:
USA
","
Language:
English
|
Russian
","
Release Date: 25 December 1966 (Brazil)
    
See more »
    
"
Hawaii (1966) ,"
Country:
USA
","
Language:
English
|
Hawaiian
","
Release Date: 10 December 1966 (Japan)
    
See more »
    
"
Spinout (1966) ,"
Country:
USA
","
Language:
English
","
Release Date: 14 December 1966 (USA)
    
See more »
    
"
Alvarez Kelly (1966) ,"
Country:
USA
","
Language:
English
","
Release Date: October 1966 (USA)
    
See more »
    
"
Akai tenshi (1966) ,"
Country:
Japan
","
Language:
Japanese
","
Release Date: 1 July 1971 (USA)
    
See more »
    
"
The Bible: In the Beginning... (1966) ,"
Country:
Italy
|
USA
","
Language:
English
","
Release Date: 28 September 1966 (USA)
    
See more »
    
"
Chelsea Girls (1966) ,"
Country:
USA
","
Language:
English
|
Portuguese
","
Release Date: November 1968 (Denmark)
    
See more »
    
"
The Trap (1966) ,"
Country:
UK
|
Canada
","
Language:
English
","
Release Date: July 1967 (USA)
    
See more »
    
"
The Appaloosa (1966) ,"
Country:
USA
","
Language:
English
|
Spanish
","
Release Date: October 1966 (Austria)
    
See more »
    
"
The Restaurant (1966) ,"
Country:
France
","
Language:
French
|
German
","
Release Date: 9 September 1966 (France)
    
See more »
    
"
After the Fox (1966) ,"
Country:
UK
|
Italy
|
USA
","
Language:
English
|
Italian
","
Release Date: 8 September 1966 (Italy)
    
See more »
    
"
Fahrenheit 451 (1966) ,"
Country:
UK
","
Language:
English
","
Release Date: 14 November 1966 (USA)
    
See more »
    
"
The Brides of Fu Manchu (1966) ,"
Country:
UK
|
West Germany
","
Language:
English
|
German
","
Release Date: 16 December 1966 (USA)
    
See more »
    
"
"What Did You Do in the War, Daddy? (1966) ","
Country:
USA
","
Language:
English
|
German
|
Italian
","
Release Date: 11 November 1966 (UK)
    
See more »
    
"
The Battle of Algiers (1966) ,"
Country:
Algeria
|
Italy
","
Language:
Arabic
|
French
|
English
","
Release Date: 20 September 1967 (USA)
    
See more »
    
"
"Texas, Adios (1966) ","
Country:
Italy
|
Spain
","
Language:
Italian
","
Release Date: 28 August 1966 (Italy)
    
See more »
    
"
"Follow Me, Boys! (1966) ","
Country:
USA
","
Language:
English
","
Release Date: 1 December 1966 (USA)
    
See more »
    
"
Fantastic Voyage (1966) ,"
Country:
USA
","
Language:
English
","
Release Date: 23 September 1966 (Japan)
    
See more »
    
"
Winnetou and the Crossbreed (1966) ,"
Country:
West Germany
|
Italy
|
Yugoslavia
","
Language:
German
","
Release Date: 1 June 1973 (USA)
    
See more »
    
"
Carry on Screaming! (1966) ,"
Country:
UK
","
Language:
English
","
Release Date: 7 April 1967 (USA)
    
See more »
    
"
The Brute and the Beast (1966) ,"
Country:
Italy
","
Language:
Italian
","
Release Date: 4 December 1968 (USA)
    
See more »
    
"
Daleks' Invasion Earth 2150 A.D. (1966) ,"
Country:
UK
","
Language:
English
","
Release Date: 5 August 1966 (UK)
    
See more »
    
"
The Man Called Flintstone (1966) ,"
Country:
USA
","
Language:
English
","
Release Date: 3 August 1966 (USA)
    
See more »
    
"
The War of the Gargantuas (1966) ,"
Country:
Japan
","
Language:
Japanese
","
Release Date: 29 July 1970 (USA)
    
See more »
    
"
Batman: The Movie (1966) ,"
Country:
USA
","
Language:
English
","
Release Date: 30 July 1966 (USA)
    
See more »
    
"
Dr. Goldfoot and the Girl Bombs (1966) ,"
Country:
Italy
|
USA
","
Language:
Italian
|
English
","
Release Date: 9 November 1966 (USA)
    
See more »
    
"
La muerte de un burócrata (1966) ,"
Country:
Cuba
","
Language:
Spanish
","
Release Date: 24 July 1966 (Cuba)
    
See more »
    
"
The Wild Angels (1966) ,"
Country:
USA
","
Language:
English
","
Release Date: 20 July 1966 (USA)
    
See more »
    
"
"War and Peace, Part II: Natasha Rostova (1966) ","
Country:
Soviet Union
","
Language:
Russian
","
Release Date: 20 July 1966 (Soviet Union)
    
See more »
    
"
The Face of Another (1966) ,"
Country:
Japan
","
Language:
Japanese
|
German
","
Release Date: 9 June 1967 (USA)
    
See more »
    
"
Mister Buddwing (1966) ,"
Country:
USA
","
Language:
English
","
Release Date: 15 July 1966 (West Germany)
    
See more »
    
"
Torn Curtain (1966) ,"
Country:
USA
","
Language:
English
|
German
|
Swedish
|
Norwegian
|
Danish
|
French
","
Release Date: 27 July 1966 (USA)
    
See more »
    
"
How to Steal a Million (1966) ,"
Country:
USA
","
Language:
English
|
French
","
Release Date: 19 August 1966 (UK)
    
See more »
    
"
"Kill, Baby... Kill! (1966) ","
Country:
Italy
","
Language:
Italian
","
Release Date: 5 March 1970 (Colombia)
    
See more »
    
"
Ah Güzel Istanbul (1966) ,"
Country:
Turkey
","
Language:
Turkish
","
Release Date: 1 July 1966 (Turkey)
    
See more »
    
"
Georgy Girl (1966) ,"
Country:
UK
","
Language:
English
|
Italian
","
Release Date: 17 October 1966 (USA)
    
See more »
    
"
Walk Don't Run (1966) ,"
Country:
USA
","
Language:
English
|
Japanese
","
Release Date: 29 June 1966 (USA)
    
See more »
    
"
"Lt. Robin Crusoe, U.S.N. (1966) ","
Country:
USA
","
Language:
English
","
Release Date: 29 July 1966 (USA)
    
See more »
    
"
A Fine Madness (1966) ,"
Country:
USA
","
Language:
English
","
Release Date: 23 September 1966 (Finland)
    
See more »
    
"
The Hunt (1966) ,"
Country:
Spain
","
Language:
Spanish
","
Release Date: 23 September 1970 (Portugal)
    
See more »
    
"
Who's Afraid of Virginia Woolf? (1966) ,"
Country:
USA
","
Language:
English
|
Latin
|
Spanish
","
Release Date: 22 June 1966 (USA)
    
See more »
    
"
The Blue Max (1966) ,"
Country:
UK
","
Language:
English
","
Release Date: 21 June 1966 (USA)
    
See more »
    
"
Island of Terror (1966) ,"
Country:
UK
","
Language:
English
","
Release Date: 1 February 1967 (USA)
    
See more »
    
"
This Property Is Condemned (1966) ,"
Country:
USA
","
Language:
English
","
Release Date: July 1967 (USA)
    
See more »
    
"
"Munster, Go Home! (1966) ","
Country:
USA
","
Language:
English
","
Release Date: 6 August 1966 (USA)
    
See more »
    
"
Khartoum (1966) ,"
Country:
UK
","
Language:
English
","
Release Date: 15 June 1966 (USA)
    
See more »
    
"
The Glass Bottom Boat (1966) ,"
Country:
USA
","
Language:
English
","
Release Date: 9 June 1966 (USA)
    
See more »
    
"
The Shooting (1966) ,"
Country:
USA
","
Language:
English
","
Release Date: 12 June 1968 (France)
    
See more »
    
"
Cul-de-sac (1966) ,"
Country:
UK
","
Language:
English
","
Release Date: 7 November 1966 (USA)
    
See more »
    
"
Lost Command (1966) ,"
Country:
USA
","
Language:
English
|
Vietnamese
","
Release Date: May 1966 (USA)
    
See more »
    
"
A Big Hand for the Little Lady (1966) ,"
Country:
USA
","
Language:
English
","
Release Date: 1 July 1966 (France)
    
See more »
    
"
The Wrong Box (1966) ,"
Country:
UK
","
Language:
English
|
Swahili
","
Release Date: 1 July 1966 (UK)
    
See more »
    
"
The Russians Are Coming the Russians Are Coming (1966) ,"
Country:
USA
","
Language:
English
|
Russian
","
Release Date: 25 May 1966 (USA)
    
See more »
    
"
Beware of the Car (1966) ,"
Country:
Soviet Union
","
Language:
Russian
","
Release Date: 25 May 1966 (Soviet Union)
    
See more »
    
"
Nevada Smith (1966) ,"
Country:
USA
","
Language:
English
","
Release Date: 23 July 1966 (Japan)
    
See more »
    
"
Seconds (1966) ,"
Country:
USA
","
Language:
English
","
Release Date: 2 October 1966 (USA)
    
See more »
    
"
Au Hasard Balthazar (1966) ,"
Country:
France
|
Sweden
","
Language:
French
|
Latin
","
Release Date: 25 May 1966 (France)
    
See more »
    
"
Mademoiselle (1966) ,"
Country:
UK
|
France
","
Language:
French
|
Italian
|
Latin
","
Release Date: 1 August 1966 (USA)
    
See more »
    
"
Duel at Diablo (1966) ,"
Country:
USA
","
Language:
English
","
Release Date: 18 June 1966 (Japan)
    
See more »
    
"
Hunger (1966) ,"
Country:
Denmark
|
Norway
|
Sweden
","
Language:
Danish
|
Swedish
|
Norwegian
","
Release Date: 12 August 1968 (USA)
    
See more »
    
"
A Man and a Woman (1966) ,"
Country:
France
","
Language:
French
|
English
|
Spanish
","
Release Date: 12 July 1966 (USA)
    
See more »
    
"
The War Is Over (1966) ,"
Country:
France
|
Sweden
","
Language:
French
|
Spanish
","
Release Date: 11 May 1966 (France)
    
See more »
    
"
The Nun (1966) ,"
Country:
France
","
Language:
French
|
Latin
","
Release Date: 8 July 1971 (USA)
    
See more »
    
"
Nayak: The Hero (1966) ,"
Country:
India
","
Language:
Bengali
","
Release Date: 6 May 1966 (India)
    
See more »
    
"
Modesty Blaise (1966) ,"
Country:
UK
","
Language:
English
|
French
|
Italian
|
Arabic
|
German
|
Dutch
","
Release Date: 4 July 1966 (Norway)
    
See more »
    
"
Arabesque (1966) ,"
Country:
USA
","
Language:
English
","
Release Date: 18 August 1966 (France)
    
See more »
    
"
The Hawks and the Sparrows (1966) ,"
Country:
Italy
","
Language:
Italian
","
Release Date: 10 December 1969 (West Germany)
    
See more »
    
"
Psycho-Circus (1966) ,"
Country:
UK
|
West Germany
","
Language:
English
","
Release Date: May 1967 (USA)
    
See more »
    
"
"Paradise, Hawaiian Style (1966) ","
Country:
USA
","
Language:
English
|
Polynesian
","
Release Date: 15 June 1966 (USA)
    
See more »
    
"
Stagecoach (1966) ,"
Country:
USA
","
Language:
English
","
Release Date: 15 June 1966 (USA)
    
See more »
    
"
The Night of the Grizzly (1966) ,"
Country:
USA
","
Language:
English
","
Release Date: 20 April 1966 (USA)
    
See more »
    
"
Ne nous fâchons pas (1966) ,"
Country:
France
","
Language:
French
","
Release Date: 20 April 1966 (France)
    
See more »
    
"
Daimajin (1966) ,"
Country:
Japan
","
Language:
Japanese
","
Release Date: 9 August 1968 (USA)
    
See more »
    
"
Daikaijû kettô: Gamera tai Barugon (1966) ,"
Country:
Japan
","
Language:
Japanese
","
Release Date: 17 April 1966 (Japan)
    
See more »
    
"
Tokyo Drifter (1966) ,"
Country:
Japan
","
Language:
Japanese
|
English
","
Release Date: 10 April 1966 (Japan)
    
See more »
    
"
Jesse James Meets Frankenstein's Daughter (1966) ,"
Country:
USA
","
Language:
English
","
Release Date: 10 April 1966 (USA)
    
See more »
    
"
Billy the Kid Versus Dracula (1966) ,"
Country:
USA
","
Language:
English
","
Release Date: 10 April 1966 (USA)
    
See more »
    
"
L'armata Brancaleone (1966) ,"
Country:
Italy
|
France
|
Spain
","
Language:
Italian
|
Latin
","
Release Date: 27 September 1983 (Spain)
    
See more »
    
"
Da zui xia (1966) ,"
Country:
Hong Kong
","
Language:
Mandarin
","
Release Date: 7 April 1966 (Hong Kong)
    
See more »
    
"
Django (1966) ,"
Country:
Italy
|
Spain
","
Language:
Italian
","
Release Date: December 1966 (USA)
    
See more »
    
"
Morgan! (1966) ,"
Country:
UK
","
Language:
English
","
Release Date: 15 May 1966 (UK)
    
See more »
    
"
Young Törless (1966) ,"
Country:
West Germany
|
France
","
Language:
German
","
Release Date: 22 July 1968 (USA)
    
See more »
    
"
Frankie and Johnny (1966) ,"
Country:
USA
","
Language:
English
","
Release Date: 31 March 1966 (USA)
    
See more »
    
"
The Trouble with Angels (1966) ,"
Country:
USA
","
Language:
English
","
Release Date: 30 March 1966 (USA)
    
See more »
    
"
Cast a Giant Shadow (1966) ,"
Country:
USA
","
Language:
English
|
Hebrew
","
Release Date: 30 March 1966 (USA)
    
See more »
    
"
Alfie (1966) ,"
Country:
UK
","
Language:
English
","
Release Date: 24 August 1966 (USA)
    
See more »
    
"
Masculin Féminin (1966) ,"
Country:
France
|
Sweden
","
Language:
French
|
Swedish
|
English
","
Release Date: 22 March 1966 (France)
    
See more »
    
"
The Singing Nun (1966) ,"
Country:
USA
","
Language:
English
|
Latin
","
Release Date: 2 April 1966 (USA)
    
See more »
    
"
Born Free (1966) ,"
Country:
UK
","
Language:
English
","
Release Date: 22 June 1966 (USA)
    
See more »
    
"
War and Peace (1966) ,"
Country:
Soviet Union
","
Language:
Russian
|
German
|
French
","
Release Date: 28 April 1968 (USA)
    
See more »
    
"
The Pornographers (1966) ,"
Country:
Japan
","
Language:
Japanese
","
Release Date: 12 August 1966 (USA)
    
See more »
    
"
Faraon (1966) ,"
Country:
Poland
","
Language:
Polish
","
Release Date: 11 March 1966 (Poland)
    
See more »
    
"
The Reptile (1966) ,"
Country:
UK
|
USA
","
Language:
English
","
Release Date: 6 April 1966 (USA)
    
See more »
    
"
Rasputin: The Mad Monk (1966) ,"
Country:
UK
","
Language:
English
","
Release Date: 6 April 1966 (USA)
    
See more »
    
"
The Oscar (1966) ,"
Country:
USA
","
Language:
English
|
Spanish
","
Release Date: 8 July 1966 (UK)
    
See more »
    
"
The Group (1966) ,"
Country:
USA
","
Language:
English
","
Release Date: 4 March 1966 (USA)
    
See more »
    
"
Madame X (1966) ,"
Country:
USA
","
Language:
English
|
Spanish
|
German
","
Release Date: 6 June 1966 (UK)
    
See more »
    
"
Queen of Blood (1966) ,"
Country:
USA
","
Language:
English
","
Release Date: 2 March 1966 (USA)
    
See more »
    
"
The Sword of Doom (1966) ,"
Country:
Japan
","
Language:
Japanese
","
Release Date: 1 July 1966 (USA)
    
See more »
    
"
Harper (1966) ,"
Country:
USA
","
Language:
English
","
Release Date: 30 March 1966 (USA)
    
See more »
    
"
Tzeni Tzeni (1966) ,"
Country:
Greece
","
Language:
Greek
","
Release Date: 21 February 1966 (Greece)
    
See more »
    
"
Lord Love a Duck (1966) ,"
Country:
USA
","
Language:
English
","
Release Date: 29 July 1966 (West Germany)
    
See more »
    
"
The Silencers (1966) ,"
Country:
USA
","
Language:
English
","
Release Date: 16 March 1966 (USA)
    
See more »
    
"
The Chase (1966) ,"
Country:
USA
","
Language:
English
|
Spanish
","
Release Date: 18 February 1966 (USA)
    
See more »
    
"
"The Birds, the Bees and the Italians (1966) ","
Country:
Italy
|
France
","
Language:
Italian
","
Release Date: 10 February 1966 (Italy)
    
See more »
    
"
The Ugly Dachshund (1966) ,"
Country:
USA
","
Language:
English
|
Japanese
","
Release Date: 16 February 1966 (USA)
    
See more »
    
"
The Rare Breed (1966) ,"
Country:
USA
","
Language:
English
","
Release Date: 25 February 1966 (Italy)
    
See more »
    
"
Le Deuxième Souffle (1966) ,"
Country:
France
","
Language:
French
","
Release Date: January 1966 (USA)
    
See more »
    
"
Angelique and the King (1966) ,"
Country:
France
|
Italy
|
West Germany
","
Language:
French
","
Release Date: 31 January 1966 (France)
    
See more »
    
"
The Ghost and Mr. Chicken (1966) ,"
Country:
USA
","
Language:
English
","
Release Date: 20 January 1966 (USA)
    
See more »
    
"
Our Man Flint (1966) ,"
Country:
USA
","
Language:
English
|
Italian
","
Release Date: 16 January 1966 (USA)
    
See more »
    
"
The Plague of the Zombies (1966) ,"
Country:
UK
|
USA
","
Language:
English
","
Release Date: 12 January 1966 (USA)
    
See more »
    
"
Dracula: Prince of Darkness (1966) ,"
Country:
UK
","
Language:
English
","
Release Date: 12 January 1966 (USA)
    
See more »
    
"
The Round-Up (1966) ,"
Country:
Hungary
","
Language:
Hungarian
","
Release Date: 6 January 1966 (Hungary)
    
See more »
    
"
Agent for H.A.R.M. (1966) ,"
Country:
USA
","
Language:
English
","
Release Date: 11 May 1966 (France)
    
See more »
    
"
7 Women (1966) ,"
Country:
USA
","
Language:
English
|
Mandarin
","
Release Date: 7 January 1966 (USA)
    
See more »
    
"
Sevmek Zamani (1965) ,"
Country:
Turkey
","
Language:
Turkish
", ~data not found~ 
The Alphabet Murders (1965) ,"
Country:
UK
","
Language:
English
","
Release Date: 17 May 1966 (USA)
    
See more »
    
"
Att angöra en brygga (1965) ,"
Country:
Sweden
","
Language:
Swedish
","
Release Date: 26 December 1965 (Sweden)
    
See more »
    
"
Zatoichi and the Chess Expert (1965) ,"
Country:
Japan
","
Language:
Japanese
","
Release Date: 24 December 1965 (Japan)
    
See more »
    
"
Chimes at Midnight (1965) ,"
Country:
Switzerland
|
Spain
","
Language:
English
","
Release Date: 17 March 1967 (USA)
    
See more »
    
"
Inside Daisy Clover (1965) ,"
Country:
USA
","
Language:
English
","
Release Date: 27 April 1966 (Italy)
    
See more »
    
"
Doctor Zhivago (1965) ,"
Country:
Italy
|
USA
","
Language:
English
|
Russian
|
French
","
Release Date: 31 December 1965 (USA)
    
See more »
    
"
Do Not Disturb (1965) ,"
Country:
USA
","
Language:
English
|
French
","
Release Date: 22 December 1965 (USA)
    
See more »
    
"
"Boeing, Boeing (1965) ","
Country:
USA
","
Language:
English
|
French
|
German
","
Release Date: 1966 (Turkey)
    
See more »
    
"
Invasion of Astro-Monster (1965) ,"
Country:
Japan
|
USA
","
Language:
Japanese
|
English
","
Release Date: 29 July 1970 (USA)
    
See more »
    
"
For a Few Dollars More (1965) ,"
Country:
Italy
|
Spain
|
West Germany
","
Language:
Italian
|
English
","
Release Date: 10 May 1967 (USA)
    
See more »
    
"
Battle of the Bulge (1965) ,"
Country:
USA
","
Language:
English
|
German
","
Release Date: 19 January 1966 (France)
    
See more »
    
"
Othello (1965) ,"
Country:
UK
","
Language:
English
","
Release Date: 3 May 1966 (UK)
    
See more »
    
"
The Flight of the Phoenix (1965) ,"
Country:
USA
","
Language:
English
|
Italian
|
Arabic
","
Release Date: 15 December 1965 (USA)
    
See more »
    
"
Old Surehand (1965) ,"
Country:
West Germany
|
Yugoslavia
","
Language:
German
","
Release Date: 1 February 1968 (USA)
    
See more »
    
"
A Thousand Clowns (1965) ,"
Country:
USA
","
Language:
English
","
Release Date: 9 September 1966 (Finland)
    
See more »
    
"
A Patch of Blue (1965) ,"
Country:
USA
","
Language:
English
","
Release Date: 10 December 1965 (USA)
    
See more »
    
"
Thunderball (1965) ,"
Country:
UK
","
Language:
English
|
French
","
Release Date: 22 December 1965 (USA)
    
See more »
    
"
The Return of Ringo (1965) ,"
Country:
Italy
|
Spain
","
Language:
Italian
","
Release Date: 1966 (USA)
    
See more »
    
"
The Slender Thread (1965) ,"
Country:
USA
","
Language:
English
","
Release Date: 16 December 1965 (USA)
    
See more »
    
"
